group,key,count
refined_verdict,불일치,1393
refined_verdict,판단불가,491
refined_verdict,일치,117
refined_final_status,재검토필요_증감률불일치,1345
refined_final_status,판단불가_증감계산값없음,240
refined_final_status,판단불가_검증대상아님,217
refined_final_status,검증완료_일치,117
refined_final_status,재검토필요_수준값불일치,48
refined_final_status,판단불가_API조회실패,31
refined_final_status,판단불가_파라미터미확정,3
refined_claim_type,CHANGE_RATE,1701
refined_claim_type,UNVERIFIABLE,217
refined_claim_type,LEVEL,83
tbl_id,DT_1R11006_FRM101,472
tbl_id,DT_1R11001_FRM101,402
tbl_id,DT_1J22042,313
tbl_id,DT_1J22003,181
tbl_id,DT_1DA7001S,130
tbl_id,DT_1L9U101,114
tbl_id,INH_1B8000F_01,84
tbl_id,DT_1K41012,70
tbl_id,DT_1DA7002S,64
tbl_id,DT_1B8000F,45
tbl_id,DT_304N_04_00001,42
tbl_id,DT_1EW0001,25
tbl_id,DT_1K41018,15
tbl_id,DT_401Y015,13
tbl_id,DT_1KC2020,11
tbl_id,DT_1L9U103,9
tbl_id,DT_1EA1011,5
tbl_id,DT_1ES3A03_A01S,4
tbl_id,INH_1B8000F_02,1
tbl_id,DT_1DA7300AS,1
